,slug,#,name,symbol,marketcap,price,totalsupply,volume,change1h,change24h,change7d,more-options
44,golem-network-tokens,"
45
",GNT,GNT,386220007.642,0.460201,839242000.0,15299800.0,-0.87%,0.50%,-13.33%,Add to Watchlist
45,augur,"
46
",REP,REP,385281600.0,35.0256,11000000.0,3939270.0,0.59%,-9.53%,-33.63%,Add to Watchlist
46,dogecoin,"
47
",DOGE,DOGE,380258039.747,0.00331728,114629467439.0,4752780.0,-0.17%,-3.71%,-21.31%,Add to Watchlist
47,mixin,"
48
",XIN,XIN,352835674.258,826.479,426914.264317,355954.0,0.06%,-4.52%,-0.21%,Add to Watchlist
48,waykichain,"
49
",WICC,WICC,326473774.0,1.86131,175400000.0,22926800.0,0.80%,1.62%,-15.72%,Add to Watchlist
49,iostoken,"
50
",IOST,IOST,324396240.0,0.0386186,8400000000.0,46596400.0,0.09%,-0.30%,-25.63%,Add to Watchlist
50,digibyte,"
51
",DGB,DGB,320491448.57,0.0310763,10313050413.7,2241290.0,0.17%,-7.50%,-23.00%,Add to Watchlist
51,waltonchain,"
52
",WTC,WTC,319183417.22,10.2486,31144099.4107,5754620.0,-0.03%,-6.07%,-20.26%,Add to Watchlist
52,status,"
53
",SNT,SNT,313693212.065,0.0903889,3470483788.0,12711600.0,-0.11%,-4.23%,-23.37%,Add to Watchlist
53,hshare,"
54
",HSR,HSR,295703436.3,6.87056,43039204.4171,32929400.0,0.25%,-4.04%,-26.06%,Add to Watchlist
54,aion,"
55
",AION,AION,286754169.27,1.91518,149727007.002,2009320.0,-0.46%,-7.13%,-24.78%,Add to Watchlist
55,nebulas-token,"
56
",NAS,NAS,268152885.0,5.89347,45500000.0,35616000.0,-0.33%,-3.70%,-21.87%,Add to Watchlist
56,loopring,"
57
",LRC,LRC,267865089.669,0.468235,572074043.309,7936490.0,0.77%,-6.01%,-28.42%,Add to Watchlist
57,basic-attention-token,"
58
",BAT,BAT,262263000.0,0.262263,1000000000.0,1878210.0,0.38%,-7.08%,-25.61%,Add to Watchlist
58,digixdao,"
59
",DGD,DGD,255096000.0,127.548,2000000.0,1793620.0,-0.88%,-8.43%,-34.35%,Add to Watchlist
59,komodo,"
60
",KMD,KMD,253859182.002,2.43606,104208920.143,722980.0,-0.76%,-3.08%,-27.88%,Add to Watchlist
60,ardor,"
61
",ARDR,ARDR,249595028.828,0.249845,998999495.0,3643700.0,-0.21%,-11.41%,-17.04%,Add to Watchlist
61,aelf,"
62
",ELF,ELF,236306250.0,0.945225,250000000.0,35823800.0,-0.44%,-6.77%,-27.94%,Add to Watchlist
62,ark,"
63
",ARK,ARK,226465353.476,2.20217,102837362.0,1039150.0,0.73%,-6.46%,-27.20%,Add to Watchlist
63,polymath-network,"
64
",POLY,POLY,209627334.339,0.758365,276420106.861,8867510.0,-0.51%,5.66%,-17.82%,Add to Watchlist
64,dentacoin,"
65
",DCN,DCN,209604324.193,0.000644487,325226613094.0,403274.0,2.40%,4.34%,-20.89%,Add to Watchlist
65,loom-network,"
66
",LOOM,LOOM,209307766.736,0.348178,601151614.22,3182850.0,-0.57%,-6.90%,-28.80%,Add to Watchlist
